                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 4.9724,                 1.4308,                 1.2564,                0.49674,                0.22247,                0.25191,                0.11206,                 4.9956,                 1.3429,                 1.2485,              0.0011389,              0.0011389,              0.0011389
                     66,                 4.9637,                 1.4367,                 1.2574,                 0.4727,                0.22521,                 0.2475,                0.10865,                 4.9684,                  1.351,                 1.2346,              0.0011306,              0.0011306,              0.0011306
                     67,                 4.9687,                 1.4268,                 1.2457,                 0.5099,                0.22694,                0.25628,                 0.1134,                 4.9897,                  1.323,                 1.2385,              0.0011224,              0.0011224,              0.0011224
                     68,                 4.9704,                 1.4195,                   1.25,                0.49086,                0.22351,                0.24798,                0.10462,                 4.9059,                 1.3696,                 1.2528,              0.0011141,              0.0011141,              0.0011141
                     69,                 4.9555,                 1.4069,                 1.2385,                0.51968,                0.22974,                 0.2608,                0.11688,                 4.9847,                 1.3126,                 1.2393,              0.0011059,              0.0011059,              0.0011059
                     70,                 4.9599,                 1.4151,                 1.2419,                0.49811,                0.23544,                0.26493,                0.11959,                 4.9847,                 1.3012,                 1.2183,              0.0010976,              0.0010976,              0.0010976
                     71,                 4.9531,                 1.4077,                 1.2374,                0.51242,                 0.2331,                0.26064,                0.11484,                 4.9528,                 1.3051,                 1.2276,              0.0010894,              0.0010894,              0.0010894
                     72,                 4.9602,                 1.3821,                 1.2252,                0.51987,                0.23677,                0.26942,                0.12384,                 4.9693,                 1.2842,                 1.2162,              0.0010811,              0.0010811,              0.0010811
                     73,                 4.9489,                 1.3891,                 1.2288,                0.53284,                0.23249,                0.26502,                0.11876,                  4.956,                 1.3078,                  1.224,              0.0010729,              0.0010729,              0.0010729
                     74,                 4.9571,                 1.3742,                 1.2199,                0.52957,                0.23502,                0.26886,                0.12132,                 4.9547,                 1.2865,                 1.2025,              0.0010646,              0.0010646,              0.0010646
                     75,                 4.9451,                 1.3778,                 1.2204,                0.53297,                0.23306,                0.27007,                0.12215,                 4.9511,                 1.2754,                 1.2068,              0.0010564,              0.0010564,              0.0010564
                     76,                 4.9429,                 1.3519,                 1.2086,                0.53453,                0.23824,                0.27123,                0.11816,                 4.9265,                 1.3022,                 1.2231,              0.0010481,              0.0010481,              0.0010481
                     77,                 4.9453,                 1.3472,                 1.2076,                0.51838,                0.24056,                0.27211,                0.12423,                 4.9551,                 1.2678,                 1.2104,              0.0010399,              0.0010399,              0.0010399
                     78,                 4.9419,                 1.3478,                 1.2004,                0.53207,                0.23955,                 0.2691,                0.11739,                 4.9049,                 1.2899,                 1.2309,              0.0010316,              0.0010316,              0.0010316
                     79,                  4.934,                 1.3254,                 1.2004,                0.53082,                 0.2379,                0.27277,                0.12078,                 4.9077,                 1.2795,                 1.2049,              0.0010234,              0.0010234,              0.0010234
                     80,                 4.9146,                 1.3434,                 1.2048,                0.54552,                 0.2482,                0.28348,                0.13297,                 4.9647,                 1.2305,                 1.1758,              0.0010151,              0.0010151,              0.0010151
                     81,                 4.9449,                  1.312,                 1.1885,                0.53588,                0.23786,                 0.2725,                0.12194,                 4.8937,                 1.2817,                 1.2115,              0.0010069,              0.0010069,              0.0010069
                     82,                 4.9247,                 1.3221,                 1.1959,                0.53461,                0.23566,                0.27015,                0.11541,                 4.8706,                 1.2997,                 1.2121,             0.00099862,             0.00099862,             0.00099862
                     83,                 4.9358,                 1.3077,                 1.1894,                0.58392,                0.25183,                0.29762,                0.14116,                 4.9714,                 1.2046,                 1.1574,             0.00099036,             0.00099036,             0.00099036
                     84,                 4.9286,                 1.3051,                 1.1844,                0.54301,                0.23544,                0.27141,                0.11359,                 4.8428,                 1.2775,                 1.2214,             0.00098211,             0.00098211,             0.00098211
